,movie_name,released_year,duration,certificate_type,rating,rating_count,directors,writers,actors
83,Your Name,2016,1h 46m,,8.4,321K,['Makoto Shinkai '],"['Makoto Shinkai ', 'Clark Cheng ']","['Ryunosuke Kamiki ', 'Mone Kamishiraishi ', 'Ryo Narita ']"
84,Once Upon a Time in America,1984,3h 49m,R,8.3,378K,['Sergio Leone '],"['Harry Grey ', 'Leonardo Benvenuti ', 'Piero De Bernardi ']","['Robert De Niro ', 'James Woods ', 'Elizabeth McGovern ']"
85,High and Low,1963,2h 23m,Not Rated,8.4,53K,['Akira Kurosawa '],"['Hideo Oguni ', 'Ryûzô Kikushima ', 'Eijirô Hisaita ']","['Toshirô Mifune ', 'Yutaka Sada ', 'Tatsuya Nakadai ']"
86,3 Idiots,2009,2h 50m,PG-13,8.4,435K,['Rajkumar Hirani '],"['Abhijat Joshi ', 'Rajkumar Hirani ', 'Vidhu Vinod Chopra ']","['Aamir Khan ', 'Madhavan ', 'Mona Singh ']"
87,Singin' in the Rain,1952,1h 43m,G,8.3,261K,"['Stanley Donen ', 'Gene Kelly ']","['Betty Comden ', 'Adolph Green ']","['Gene Kelly ', ""Donald O'Connor "", 'Debbie Reynolds ']"
88,Capernaum,2018,2h 6m,R,8.4,106K,['Nadine Labaki '],"['Nadine Labaki ', 'Jihad Hojeily ', 'Michelle Keserwany ']","['Zain Al Rafeea ', 'Yordanos Shiferaw ', 'Boluwatife Treasure Bankole ']"
89,Come and See,1985,2h 22m,Not Rated,8.4,97K,['Elem Klimov '],"['Ales Adamovich ', 'Elem Klimov ']","['Aleksey Kravchenko ', 'Olga Mironova ', 'Liubomiras Laucevicius ']"
90,Requiem for a Dream,2000,1h 42m,NC-17,8.3,900K,['Darren Aronofsky '],"['Hubert Selby Jr. ', 'Darren Aronofsky ']","['Ellen Burstyn ', 'Jared Leto ', 'Jennifer Connelly ']"
91,Toy Story 3,2010,1h 43m,G,8.3,893K,['Lee Unkrich '],"['John Lasseter ', 'Andrew Stanton ', 'Lee Unkrich ']","['Tom Hanks ', 'Tim Allen ', 'Joan Cusack ']"
92,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3,1.1M,['Richard Marquand '],"['Lawrence Kasdan ', 'George Lucas ']","['Mark Hamill ', 'Harrison Ford ', 'Carrie Fisher ']"
93,Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3,1.1M,['Michel Gondry '],"['Charlie Kaufman ', 'Michel Gondry ', 'Pierre Bismuth ']","['Jim Carrey ', 'Kate Winslet ', 'Tom Wilkinson ']"
